placenta	chromosome	median_allele_balance	quadrant
Plac_CON02_VW-ASUPlace-Cont02_180_013_S184_L001	8	0.5714	Q1
Plac_CON03_VW-ASUPlace-Cont03_168_025_S185_L001	8	0.56565	Q1
Plac_CON05_VW-ASUPlace-Cont05-Q1RNA1_144_049_S187_L001	8	1.0	Q1
Plac_CON06_VW-ASUPlace-Cont06-Q1RNA1_132_061_S188_L001	8	1.0	Q1
Plac_CON10_VW-ASUPlace-Cont10-Q1RNA1_179_014_S192_L001	8	0.5714	Q1
Plac_HDP01_VW-ASUPlace-HDP01_167_026_S193_L001	8	1.0	Q1
Plac_HDP08_VW-ASUPlace-HDP08-Q1RNA1_178_015_S200_L001	8	0.5833	Q1
Plac_HDP09_VW-ASUPlace-HDP09-Q1RNA1_166_027_S201_L001	8	0.5769	Q1
Plac_HDP10_VW-ASUPlace-HDP10-Q1RNA1_154_039_S202_L001	8	0.6	Q1
Plac_CON02_Cont02_quadrant2_Sample_2_084_109	8	0.5833	Q2
Plac_CON03_Cont03_quadrant2_Sample_3_072_121	8	0.5789	Q2
Plac_CON05_Cont05_quadrant2_Sample_5_048_145	8	1.0	Q2
Plac_CON06_Cont06_quadrant2_Sample_6_036_157	8	1.0	Q2
Plac_CON10_Cont10_quadrant2_Sample_10_083_110	8	0.58065	Q2
Plac_HDP01_HDP01_quadrant2_Sample_11_071_122	8	1.0	Q2
Plac_HDP08_HDP08_quadrant2_Sample_18_082_111	8	0.5833	Q2
Plac_HDP09_HDP09_quadrant2_Sample_19_070_123	8	0.5676	Q2
Plac_HDP10_HDP10_quadrant2_Sample_20_058_135	8	0.6	Q2
Plac_CON02_Cont02_quadrant3_Sample_2_034_159	8	0.5714	Q3
Plac_CON03_Cont03_quadrant3_Sample_3_022_171	8	0.5806	Q3
Plac_CON05_Cont05_quadrant3_Sample_5_093_100	8	0.9762	Q3
Plac_CON06_Cont06_quadrant3_Sample_6_081_112	8	1.0	Q3
Plac_CON10_Cont10_quadrant3_Sample_10_033_160	8	0.58	Q3
Plac_HDP01_HDP01_quadrant3_Sample_11_021_172	8	1.0	Q3
Plac_HDP08_HDP08_quadrant3_Sample_18_032_161	8	0.5769	Q3
Plac_HDP09_HDP09_quadrant3_Sample_19_020_173	8	0.6	Q3
Plac_HDP10_HDP10_quadrant3_Sample_20_008_185	8	0.5904	Q3
Plac_CON02_Cont02_quadrant4_Sample_22_079_114	8	0.5714	Q4
Plac_CON03_Cont03_quadrant4_Sample_23_067_126	8	0.5764499999999999	Q4
Plac_CON05_Cont05_quadrant4_Sample_25_043_150	8	0.9923	Q4
Plac_CON06_Cont06_quadrant4_Sample_26_031_162	8	1.0	Q4
Plac_CON10_Cont10_quadrant4_Sample_30_078_115	8	0.5833	Q4
Plac_HDP01_HDP01_quadrant4_Sample_31_066_127	8	1.0	Q4
Plac_HDP08_HDP08_quadrant4_Sample_38_077_116	8	0.5769	Q4
Plac_HDP09_HDP09_quadrant4_Sample_39_065_128	8	0.5789	Q4
Plac_HDP10_HDP10_quadrant4_Sample_40_053_140	8	0.6087	Q4
