[-] Unloading singularity  4.2.2  on cn0060 
[-] Unloading GATK  4.6.0.0 
[+] Loading singularity  4.2.2  on cn0060 
[+] Loading GATK  4.6.0.0 

GATK is installed as a container.


14:56:24.199 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gatk/gatk-package-4.6.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
14:56:24.394 INFO  ASEReadCounter - ------------------------------------------------------------
14:56:24.398 INFO  ASEReadCounter - The Genome Analysis Toolkit (GATK) v4.6.0.0
14:56:24.398 INFO  ASEReadCounter - For support and documentation go to https://software.broadinstitute.org/gatk/
14:56:24.398 INFO  ASEReadCounter - Executing as sheffermannm@cn0060 on Linux v4.18.0-425.19.3a.el8.x86_64 amd64
14:56:24.398 INFO  ASEReadCounter - Java runtime: OpenJDK 64-Bit Server VM v17.0.9+9-Ubuntu-122.04
14:56:24.398 INFO  ASEReadCounter - Start Date/Time: November 25, 2025 at 2:56:24 PM GMT
14:56:24.399 INFO  ASEReadCounter - ------------------------------------------------------------
14:56:24.399 INFO  ASEReadCounter - ------------------------------------------------------------
14:56:24.400 INFO  ASEReadCounter - HTSJDK Version: 4.1.1
14:56:24.401 INFO  ASEReadCounter - Picard Version: 3.2.0
14:56:24.401 INFO  ASEReadCounter - Built for Spark Version: 3.5.0
14:56:24.401 INFO  ASEReadCounter - HTSJDK Defaults.COMPRESSION_LEVEL : 2
14:56:24.401 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
14:56:24.402 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
14:56:24.402 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
14:56:24.402 INFO  ASEReadCounter - Deflater: IntelDeflater
14:56:24.403 INFO  ASEReadCounter - Inflater: IntelInflater
14:56:24.403 INFO  ASEReadCounter - GCS max retries/reopens: 20
14:56:24.403 INFO  ASEReadCounter - Requester pays: disabled
14:56:24.403 INFO  ASEReadCounter - Initializing engine
14:56:24.642 INFO  FeatureManager - Using codec VCFCodec to read file file:///data/Wilson_Lab/projects/placenta_multiomics/valleywise_pilot/vqsr/chrX.gatk.called.vqsr.sv.biallelic.snp.Plac_CON10.het.vcf
14:56:24.690 INFO  ASEReadCounter - Done initializing engine
14:56:24.709 INFO  ProgressMeter - Starting traversal
14:56:24.710 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
14:56:34.713 INFO  ProgressMeter -        chr1:10505329              0.2               2827000       16960304.0
14:56:44.712 INFO  ProgressMeter -        chr1:23020763              0.3               6368000       19103044.8
14:56:54.712 INFO  ProgressMeter -        chr1:30947785              0.5               8907000       17813406.2
14:57:04.713 INFO  ProgressMeter -        chr1:42754977              0.7              12581000       18870084.7
14:57:14.714 INFO  ProgressMeter -        chr1:53016522              0.8              15530000       18634509.2
14:57:24.714 INFO  ProgressMeter -        chr1:86625909              1.0              20828000       20826611.6
14:57:34.720 INFO  ProgressMeter -       chr1:109569336              1.2              25256000       21645217.0
14:57:44.720 INFO  ProgressMeter -       chr1:120173156              1.3              27895000       20918896.6
14:57:54.720 INFO  ProgressMeter -       chr1:154466425              1.5              32067000       21375624.9
14:58:04.724 INFO  ProgressMeter -       chr1:171522370              1.7              36335000       21798166.2
14:58:14.787 INFO  ProgressMeter -       chr1:176514319              1.8              37731000       20566149.2
14:58:24.846 INFO  ProgressMeter -       chr1:176589585              2.0              37806000       18881600.9
14:58:34.918 INFO  ProgressMeter -       chr1:176675834              2.2              37892000       17460812.4
14:58:44.987 INFO  ProgressMeter -       chr1:176761395              2.3              37977000       16243833.6
14:58:55.086 INFO  ProgressMeter -       chr1:176842658              2.5              38058000       15185135.9
14:59:05.086 INFO  ProgressMeter -       chr1:198283038              2.7              41174000       15404050.5
14:59:15.095 INFO  ProgressMeter -       chr1:207767227              2.8              44034000       15506294.6
14:59:25.096 INFO  ProgressMeter -       chr1:232548930              3.0              48851000       16248822.0
14:59:35.128 INFO  ProgressMeter -        chr2:20041332              3.2              54133000       17057105.9
14:59:45.129 INFO  ProgressMeter -        chr2:32988721              3.3              57728000       17282280.0
14:59:55.130 INFO  ProgressMeter -        chr2:37017194              3.5              58391000       16649843.2
15:00:05.145 INFO  ProgressMeter -        chr2:46386942              3.7              60926000       16583391.9
15:00:15.145 INFO  ProgressMeter -        chr2:69175976              3.8              65019000       16929459.5
15:00:25.145 INFO  ProgressMeter -        chr2:85888042              4.0              68453000       17082288.4
15:00:35.146 INFO  ProgressMeter -       chr2:113916029              4.2              74403000       17825703.3
15:00:45.149 INFO  ProgressMeter -       chr2:152596995              4.3              79382000       18288044.4
15:00:55.152 INFO  ProgressMeter -       chr2:171097715              4.5              82765000       18362162.7
15:01:05.154 INFO  ProgressMeter -       chr2:188390049              4.7              86348000       18473848.6
15:01:15.156 INFO  ProgressMeter -       chr2:210607962              4.8              90924000       18783039.8
