[+] Loading singularity  4.2.2  on cn4285 
[+] Loading GATK  4.6.0.0 

GATK is installed as a container.


17:27:35.677 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gatk/gatk-package-4.6.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
17:27:35.862 INFO  ASEReadCounter - ------------------------------------------------------------
17:27:35.867 INFO  ASEReadCounter - The Genome Analysis Toolkit (GATK) v4.6.0.0
17:27:35.867 INFO  ASEReadCounter - For support and documentation go to https://software.broadinstitute.org/gatk/
17:27:35.867 INFO  ASEReadCounter - Executing as sheffermannm@cn4285 on Linux v4.18.0-425.19.3a.el8.x86_64 amd64
17:27:35.867 INFO  ASEReadCounter - Java runtime: OpenJDK 64-Bit Server VM v17.0.9+9-Ubuntu-122.04
17:27:35.868 INFO  ASEReadCounter - Start Date/Time: January 15, 2026 at 5:27:35 PM GMT
17:27:35.868 INFO  ASEReadCounter - ------------------------------------------------------------
17:27:35.868 INFO  ASEReadCounter - ------------------------------------------------------------
17:27:35.869 INFO  ASEReadCounter - HTSJDK Version: 4.1.1
17:27:35.869 INFO  ASEReadCounter - Picard Version: 3.2.0
17:27:35.869 INFO  ASEReadCounter - Built for Spark Version: 3.5.0
17:27:35.869 INFO  ASEReadCounter - HTSJDK Defaults.COMPRESSION_LEVEL : 2
17:27:35.869 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
17:27:35.869 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
17:27:35.870 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
17:27:35.870 INFO  ASEReadCounter - Deflater: IntelDeflater
17:27:35.870 INFO  ASEReadCounter - Inflater: IntelInflater
17:27:35.870 INFO  ASEReadCounter - GCS max retries/reopens: 20
17:27:35.870 INFO  ASEReadCounter - Requester pays: disabled
17:27:35.870 INFO  ASEReadCounter - Initializing engine
17:27:36.131 INFO  FeatureManager - Using codec VCFCodec to read file file:///data/Wilson_Lab/projects/placenta_multiomics/valleywise_pilot/vqsr/chr8.gatk.called.vqsr.sv.biallelic.snp.Plac_HDP05.het.vcf
17:27:36.192 INFO  ASEReadCounter - Done initializing engine
17:27:36.220 INFO  ProgressMeter - Starting traversal
17:27:36.221 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
17:27:46.224 INFO  ProgressMeter -        chr1:15418788              0.2               3692000       22152000.0
17:27:56.258 INFO  ProgressMeter -        chr1:25679401              0.3               6645000       19898188.4
17:28:06.264 INFO  ProgressMeter -        chr1:36178106              0.5               9779000       19530657.1
17:28:16.268 INFO  ProgressMeter -        chr1:44778460              0.7              12354000       18509713.8
17:28:26.268 INFO  ProgressMeter -        chr1:77756036              0.8              17700000       21220053.2
17:28:36.270 INFO  ProgressMeter -       chr1:112915072              1.0              23539000       23519792.2
17:28:46.280 INFO  ProgressMeter -       chr1:149544458              1.2              27411000       23475356.5
17:28:56.280 INFO  ProgressMeter -       chr1:167275316              1.3              31765000       23806192.9
17:29:06.354 INFO  ProgressMeter -       chr1:176500297              1.5              33887000       22557997.6
17:29:16.375 INFO  ProgressMeter -       chr1:176552434              1.7              33939000       20332291.6
17:29:26.464 INFO  ProgressMeter -       chr1:176613566              1.8              34000000       18504576.3
17:29:36.503 INFO  ProgressMeter -       chr1:176675597              2.0              34062000       16991212.2
17:29:46.535 INFO  ProgressMeter -       chr1:176738756              2.2              34125000       15712049.4
17:29:56.617 INFO  ProgressMeter -       chr1:176804782              2.3              34191000       14612058.8
17:30:06.621 INFO  ProgressMeter -       chr1:182390650              2.5              35457000       14145079.8
17:30:16.623 INFO  ProgressMeter -       chr1:207347687              2.7              39565000       14799690.8
17:30:26.623 INFO  ProgressMeter -       chr1:236226460              2.8              44592000       15701224.2
17:30:36.625 INFO  ProgressMeter -        chr2:20336638              3.0              48797000       16229241.0
17:30:46.658 INFO  ProgressMeter -        chr2:36392671              3.2              52101000       16415192.4
17:30:56.704 INFO  ProgressMeter -        chr2:36546964              3.3              52254000       15638511.2
17:31:06.704 INFO  ProgressMeter -        chr2:53745512              3.5              55458000       15808857.8
17:31:16.704 INFO  ProgressMeter -        chr2:72353899              3.7              59481000       16186627.5
17:31:26.707 INFO  ProgressMeter -       chr2:108767555              3.8              65029000       16928316.7
17:31:36.713 INFO  ProgressMeter -       chr2:160298468              4.0              72143000       17998852.4
17:31:46.713 INFO  ProgressMeter -       chr2:177400883              4.2              75314000       18039857.6
17:31:56.715 INFO  ProgressMeter -       chr2:190296878              4.3              77636000       17882024.2
17:32:06.868 INFO  ProgressMeter -       chr2:215391962              4.5              81355000       18035670.1
17:32:16.870 INFO  ProgressMeter -       chr2:222876369              4.7              82611000       17661420.5
