[+] Loading singularity  4.2.2  on cn0031 
[+] Loading GATK  4.6.0.0 

GATK is installed as a container.


17:25:20.488 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gatk/gatk-package-4.6.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
17:25:20.663 INFO  ASEReadCounter - ------------------------------------------------------------
17:25:20.667 INFO  ASEReadCounter - The Genome Analysis Toolkit (GATK) v4.6.0.0
17:25:20.667 INFO  ASEReadCounter - For support and documentation go to https://software.broadinstitute.org/gatk/
17:25:20.667 INFO  ASEReadCounter - Executing as sheffermannm@cn0031 on Linux v4.18.0-425.19.3a.el8.x86_64 amd64
17:25:20.667 INFO  ASEReadCounter - Java runtime: OpenJDK 64-Bit Server VM v17.0.9+9-Ubuntu-122.04
17:25:20.667 INFO  ASEReadCounter - Start Date/Time: January 15, 2026 at 5:25:20 PM GMT
17:25:20.668 INFO  ASEReadCounter - ------------------------------------------------------------
17:25:20.668 INFO  ASEReadCounter - ------------------------------------------------------------
17:25:20.668 INFO  ASEReadCounter - HTSJDK Version: 4.1.1
17:25:20.668 INFO  ASEReadCounter - Picard Version: 3.2.0
17:25:20.669 INFO  ASEReadCounter - Built for Spark Version: 3.5.0
17:25:20.669 INFO  ASEReadCounter - HTSJDK Defaults.COMPRESSION_LEVEL : 2
17:25:20.669 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
17:25:20.669 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
17:25:20.669 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
17:25:20.669 INFO  ASEReadCounter - Deflater: IntelDeflater
17:25:20.669 INFO  ASEReadCounter - Inflater: IntelInflater
17:25:20.669 INFO  ASEReadCounter - GCS max retries/reopens: 20
17:25:20.670 INFO  ASEReadCounter - Requester pays: disabled
17:25:20.670 INFO  ASEReadCounter - Initializing engine
17:25:20.884 INFO  FeatureManager - Using codec VCFCodec to read file file:///data/Wilson_Lab/projects/placenta_multiomics/valleywise_pilot/vqsr/chr8.gatk.called.vqsr.sv.biallelic.snp.Plac_CON09.het.vcf
17:25:20.935 INFO  ASEReadCounter - Done initializing engine
17:25:20.960 INFO  ProgressMeter - Starting traversal
17:25:20.960 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
17:25:30.963 INFO  ProgressMeter -       chr1:121433646              0.2               8618000       51708000.0
17:25:40.961 INFO  ProgressMeter -        chr2:33585101              0.3              17787000       53361000.0
17:25:50.968 INFO  ProgressMeter -       chr2:215389162              0.5              27976000       55940811.8
17:26:00.968 INFO  ProgressMeter -       chr3:136261801              0.7              38174000       57252412.1
17:26:10.967 INFO  ProgressMeter -       chr4:184619865              0.8              49504000       59397672.3
17:26:20.968 INFO  ProgressMeter -        chr6:12133319              1.0              60380000       60373962.6
17:26:30.967 INFO  ProgressMeter -        chr7:44210990              1.2              71628000       61390166.6
17:26:40.967 INFO  ProgressMeter -        chr8:70246726              1.3              82029000       61517136.2
17:26:50.989 INFO  ProgressMeter -       chr9:116397723              1.5              90986000       60638468.0
17:27:01.000 INFO  ProgressMeter -      chr10:126207770              1.7             101115000       60645348.3
17:27:11.001 INFO  ProgressMeter -        chr12:7127472              1.8             110796000       60412762.7
17:27:21.001 INFO  ProgressMeter -       chr13:98185911              2.0             121689000       60824225.3
17:27:31.001 INFO  ProgressMeter -       chr15:64548108              2.2             131035000       60459089.5
17:27:41.002 INFO  ProgressMeter -       chr17:47162611              2.3             143571000       61512853.5
17:27:51.001 INFO  ProgressMeter -       chr19:10732490              2.5             151254000       60485470.5
17:28:01.121 INFO  ProgressMeter -        chr21:8182393              2.7             160261000       60037837.2
17:28:36.518 INFO  ProgressMeter -        chr21:8210797              3.3             160267000       49172466.3
17:29:10.489 INFO  ProgressMeter -        chr21:8211797              3.8             160268000       41895019.3
17:29:37.530 INFO  ProgressMeter -        chr21:8212797              4.3             160269000       37479742.3
17:30:05.597 INFO  ProgressMeter -        chr21:8213856              4.7             160270000       33784201.6
17:30:49.314 INFO  ProgressMeter -        chr21:8214856              5.5             160271000       29286436.5
17:31:43.501 INFO  ProgressMeter -        chr21:8215856              6.4             160272000       25138142.8
17:32:48.556 INFO  ProgressMeter -        chr21:8216856              7.5             160273000       21484604.4
17:33:56.372 INFO  ProgressMeter -        chr21:8217856              8.6             160274000       18657845.2
17:35:11.062 INFO  ProgressMeter -        chr21:8218856              9.8             160275000       16296390.4
17:36:30.134 INFO  ProgressMeter -        chr21:8220132             11.2             160276000       14370834.4
17:40:05.414 INFO  ProgressMeter -        chr21:8223608             14.7             160277000       10872969.9
18:05:05.274 INFO  ProgressMeter -        chr21:8248108             39.7             160278000        4033314.4
18:07:42.830 INFO  ProgressMeter -        chr21:8250688             42.4             160279000        3783335.7
18:08:43.704 INFO  ProgressMeter -        chr21:8251688             43.4             160280000        3694871.1
